,variable,value,date,times
187,mood,8.0,2014-04-28,12:00:00.000
188,mood,8.0,2014-04-28,15:00:00.000
189,mood,8.0,2014-04-28,19:00:00.000
190,mood,8.0,2014-04-28,21:00:00.000
191,mood,8.0,2014-04-29,11:00:00.000
192,mood,8.0,2014-04-29,12:00:00.000
193,mood,8.0,2014-04-29,15:00:00.000
194,mood,8.0,2014-04-29,19:00:00.000
195,mood,8.0,2014-04-29,21:00:00.000
196,mood,8.0,2014-04-30,09:00:00.000
197,mood,8.0,2014-04-30,12:00:00.000
198,mood,8.0,2014-04-30,15:00:00.000
199,mood,8.0,2014-04-30,18:00:00.000
200,mood,7.0,2014-04-30,21:00:00.000
201,mood,8.0,2014-05-01,09:00:00.000
202,mood,8.0,2014-05-01,12:00:00.000
203,mood,9.0,2014-05-01,15:00:00.000
204,mood,8.0,2014-05-01,18:00:00.000
205,mood,8.0,2014-05-01,21:00:00.000
206,mood,8.0,2014-05-02,10:00:00.000
207,mood,8.0,2014-05-02,12:00:00.000
208,mood,8.0,2014-05-02,15:00:00.000
209,mood,8.0,2014-05-02,18:00:00.000
210,mood,8.0,2014-05-02,21:00:00.000
211,mood,8.0,2014-05-03,09:00:00.000
212,mood,7.0,2014-05-03,12:00:00.000
213,mood,8.0,2014-05-03,15:00:00.000
214,mood,8.0,2014-05-03,18:00:00.000
215,mood,8.0,2014-05-03,22:00:00.000
216,mood,7.0,2014-05-04,10:00:00.000
217,mood,8.0,2014-05-04,12:00:00.000
218,mood,8.0,2014-05-04,15:00:00.000
219,mood,8.0,2014-05-04,19:00:00.000
220,mood,8.0,2014-05-04,21:00:00.000
221,mood,8.0,2014-05-05,09:00:00.000
222,mood,8.0,2014-05-05,13:00:00.000
223,mood,8.0,2014-05-05,15:00:00.000
224,circumplex.arousal,1.0,2014-03-20,15:00:00.000
225,circumplex.arousal,-1.0,2014-03-20,18:00:00.000
226,circumplex.arousal,1.0,2014-03-20,21:00:00.000
227,circumplex.arousal,-2.0,2014-03-21,09:00:00.000
228,circumplex.arousal,1.0,2014-03-21,12:00:00.000
229,circumplex.arousal,1.0,2014-03-21,15:00:00.000
230,circumplex.arousal,-1.0,2014-03-21,18:00:00.000
231,circumplex.arousal,-1.0,2014-03-21,21:00:00.000
232,circumplex.arousal,-1.0,2014-03-22,09:00:00.000
233,circumplex.arousal,-1.0,2014-03-22,12:00:00.000
234,circumplex.arousal,-1.0,2014-03-22,15:00:00.000
235,circumplex.arousal,1.0,2014-03-22,18:00:00.000
236,circumplex.arousal,-2.0,2014-03-22,21:00:00.000
237,circumplex.arousal,-1.0,2014-03-23,09:00:00.000
238,circumplex.arousal,1.0,2014-03-23,12:00:00.000
239,circumplex.arousal,0.0,2014-03-23,15:00:00.000
240,circumplex.arousal,-2.0,2014-03-23,18:00:00.000
241,circumplex.arousal,-1.0,2014-03-23,21:00:00.000
242,circumplex.arousal,-1.0,2014-03-24,09:00:00.000
243,circumplex.arousal,1.0,2014-03-24,12:00:00.000
244,circumplex.arousal,1.0,2014-03-24,15:00:00.000
245,circumplex.arousal,-1.0,2014-03-24,19:00:00.000
246,circumplex.arousal,-1.0,2014-03-24,21:00:00.000
247,circumplex.arousal,-1.0,2014-03-25,09:00:00.000
248,circumplex.arousal,1.0,2014-03-25,12:00:00.000
249,circumplex.arousal,1.0,2014-03-25,15:00:00.000
250,circumplex.arousal,-1.0,2014-03-25,18:00:00.000
251,circumplex.arousal,-1.0,2014-03-25,21:00:00.000
252,circumplex.arousal,-1.0,2014-03-26,09:00:00.000
253,circumplex.arousal,-1.0,2014-03-26,12:00:00.000
254,circumplex.arousal,2.0,2014-03-26,16:00:00.000
255,circumplex.arousal,-1.0,2014-03-26,18:00:00.000
256,circumplex.arousal,2.0,2014-03-26,21:00:00.000
257,circumplex.arousal,-1.0,2014-03-27,12:00:00.000
258,circumplex.arousal,1.0,2014-03-27,15:00:00.000
259,circumplex.arousal,-1.0,2014-03-27,18:00:00.000
260,circumplex.arousal,-2.0,2014-03-27,21:00:00.000
261,circumplex.arousal,-1.0,2014-03-28,09:00:00.000
262,circumplex.arousal,1.0,2014-03-28,12:00:00.000
263,circumplex.arousal,2.0,2014-03-28,15:00:00.000
264,circumplex.arousal,-1.0,2014-03-28,18:00:00.000
265,circumplex.arousal,-1.0,2014-03-28,21:00:00.000
266,circumplex.arousal,-2.0,2014-03-29,09:00:00.000
267,circumplex.arousal,-1.0,2014-03-29,12:00:00.000
268,circumplex.arousal,-1.0,2014-03-29,15:00:00.000
269,circumplex.arousal,-1.0,2014-03-29,20:00:00.000
270,circumplex.arousal,-2.0,2014-03-29,21:00:00.000
271,circumplex.arousal,-1.0,2014-03-30,09:00:00.000
272,circumplex.arousal,-1.0,2014-03-30,12:00:00.000
273,circumplex.arousal,-1.0,2014-03-30,15:00:00.000
274,circumplex.arousal,-1.0,2014-03-30,18:00:00.000
275,circumplex.arousal,-2.0,2014-03-30,21:00:00.000
276,circumplex.arousal,-1.0,2014-03-31,09:00:00.000
277,circumplex.arousal,-1.0,2014-03-31,12:00:00.000
278,circumplex.arousal,0.0,2014-03-31,15:00:00.000
279,circumplex.arousal,-1.0,2014-03-31,18:00:00.000
280,circumplex.arousal,-1.0,2014-03-31,21:00:00.000
281,circumplex.arousal,-1.0,2014-04-01,09:00:00.000
282,circumplex.arousal,-1.0,2014-04-01,12:00:00.000
283,circumplex.arousal,-1.0,2014-04-01,15:00:00.000
284,circumplex.arousal,-1.0,2014-04-01,18:00:00.000
285,circumplex.arousal,-2.0,2014-04-01,21:00:00.000
286,circumplex.arousal,-1.0,2014-04-02,09:00:00.000
287,circumplex.arousal,1.0,2014-04-02,12:00:00.000
288,circumplex.arousal,-1.0,2014-04-02,15:00:00.000
289,circumplex.arousal,-1.0,2014-04-02,18:00:00.000
290,circumplex.arousal,-1.0,2014-04-02,21:00:00.000
291,circumplex.arousal,1.0,2014-04-03,09:00:00.000
292,circumplex.arousal,1.0,2014-04-03,12:00:00.000
293,circumplex.arousal,-1.0,2014-04-03,15:00:00.000
294,circumplex.arousal,1.0,2014-04-03,18:00:00.000
295,circumplex.arousal,-1.0,2014-04-03,21:00:00.000
296,circumplex.arousal,-1.0,2014-04-04,10:00:00.000
297,circumplex.arousal,-1.0,2014-04-04,12:00:00.000
298,circumplex.arousal,-1.0,2014-04-04,15:00:00.000
299,circumplex.arousal,-1.0,2014-04-04,18:00:00.000
300,circumplex.arousal,-2.0,2014-04-04,21:00:00.000
301,circumplex.arousal,-2.0,2014-04-05,09:00:00.000
302,circumplex.arousal,-1.0,2014-04-05,12:00:00.000
303,circumplex.arousal,1.0,2014-04-05,15:00:00.000
304,circumplex.arousal,-1.0,2014-04-05,18:00:00.000
305,circumplex.arousal,-1.0,2014-04-05,21:00:00.000
306,circumplex.arousal,-2.0,2014-04-06,10:00:00.000
307,circumplex.arousal,-1.0,2014-04-06,12:00:00.000
308,circumplex.arousal,-1.0,2014-04-06,15:00:00.000
309,circumplex.arousal,-1.0,2014-04-06,19:00:00.000
310,circumplex.arousal,-1.0,2014-04-06,21:00:00.000
311,circumplex.arousal,-1.0,2014-04-07,09:00:00.000
312,circumplex.arousal,1.0,2014-04-07,12:00:00.000
313,circumplex.arousal,1.0,2014-04-07,15:00:00.000
314,circumplex.arousal,-1.0,2014-04-07,18:00:00.000
315,circumplex.arousal,0.0,2014-04-07,21:00:00.000
316,circumplex.arousal,-1.0,2014-04-08,09:00:00.000
317,circumplex.arousal,1.0,2014-04-08,12:00:00.000
318,circumplex.arousal,0.0,2014-04-08,15:00:00.000
319,circumplex.arousal,-1.0,2014-04-08,18:00:00.000
320,circumplex.arousal,-2.0,2014-04-08,21:00:00.000
321,circumplex.arousal,-2.0,2014-04-09,09:00:00.000
322,circumplex.arousal,1.0,2014-04-09,12:00:00.000
323,circumplex.arousal,0.0,2014-04-09,15:00:00.000
324,circumplex.arousal,-1.0,2014-04-09,21:00:00.000
325,circumplex.arousal,-1.0,2014-04-10,09:00:00.000
326,circumplex.arousal,-1.0,2014-04-10,12:00:00.000
327,circumplex.arousal,-1.0,2014-04-10,15:00:00.000
