time,variable,value
2014-04-26 12:00:00.000,circumplex.valence,1
2014-04-26 15:00:00.000,circumplex.valence,2
2014-04-26 19:00:00.000,circumplex.valence,2
2014-04-26 21:00:00.000,circumplex.valence,0
2014-04-27 10:00:00.000,circumplex.valence,0
2014-04-27 13:00:00.000,circumplex.valence,0
2014-04-27 15:00:00.000,circumplex.valence,1
2014-04-27 18:00:00.000,circumplex.valence,0
2014-04-27 21:00:00.000,circumplex.valence,1
2014-04-28 09:00:00.000,circumplex.valence,0
2014-04-28 12:00:00.000,circumplex.valence,1
2014-04-28 18:00:00.000,circumplex.valence,1
2014-04-28 21:00:00.000,circumplex.valence,1
2014-04-29 09:00:00.000,circumplex.valence,0
2014-04-29 13:00:00.000,circumplex.valence,2
2014-04-29 15:00:00.000,circumplex.valence,-1
2014-04-29 18:00:00.000,circumplex.valence,0
2014-04-29 21:00:00.000,circumplex.valence,1
2014-04-30 10:00:00.000,circumplex.valence,-2
2014-04-30 12:00:00.000,circumplex.valence,1
2014-04-30 15:00:00.000,circumplex.valence,1
2014-04-30 21:00:00.000,circumplex.valence,1
2014-05-01 09:00:00.000,circumplex.valence,0
2014-05-01 13:00:00.000,circumplex.valence,1
2014-05-01 15:00:00.000,circumplex.valence,0
2014-05-01 19:00:00.000,circumplex.valence,1
2014-05-04 04:00:00.000,circumplex.valence,2
2014-05-04 19:00:00.000,circumplex.valence,0
2014-05-04 21:00:00.000,circumplex.valence,1
2014-05-05 10:00:00.000,circumplex.valence,1
2014-05-05 14:00:00.000,circumplex.valence,0
2014-05-05 18:00:00.000,circumplex.valence,1
2014-05-07 09:00:00.000,circumplex.valence,1
2014-05-07 12:00:00.000,circumplex.valence,0
2014-05-07 15:00:00.000,circumplex.valence,-2
2014-05-07 19:00:00.000,circumplex.valence,-1
2014-05-08 00:00:00.000,circumplex.valence,0
2014-05-08 09:00:00.000,circumplex.valence,0
2014-05-08 15:00:00.000,circumplex.valence,1
2014-05-08 20:00:00.000,circumplex.valence,1
2014-05-08 21:00:00.000,circumplex.valence,0
2014-05-09 10:00:00.000,circumplex.valence,0
2014-05-09 12:00:00.000,circumplex.valence,-1
2014-05-09 14:00:00.000,circumplex.valence,-1
2014-05-09 18:00:00.000,circumplex.valence,0
2014-05-09 21:00:00.000,circumplex.valence,1
2014-05-10 09:00:00.000,circumplex.valence,0
2014-05-10 12:00:00.000,circumplex.valence,1
2014-05-10 15:00:00.000,circumplex.valence,1
2014-05-10 18:00:00.000,circumplex.valence,2
2014-05-10 21:00:00.000,circumplex.valence,1
2014-05-11 09:00:00.000,circumplex.valence,0
2014-05-11 12:00:00.000,circumplex.valence,2
2014-05-11 15:00:00.000,circumplex.valence,0
2014-05-11 18:00:00.000,circumplex.valence,1
2014-05-11 21:00:00.000,circumplex.valence,-1
2014-05-12 10:00:00.000,circumplex.valence,0
2014-05-12 15:00:00.000,circumplex.valence,1
2014-05-12 17:00:00.000,circumplex.valence,0
2014-05-12 23:00:00.000,circumplex.valence,1
2014-05-13 12:00:00.000,circumplex.valence,-1
2014-05-13 15:00:00.000,circumplex.valence,1
2014-05-14 01:00:00.000,circumplex.valence,1
2014-05-14 09:00:00.000,circumplex.valence,0
2014-05-14 13:00:00.000,circumplex.valence,0
2014-05-14 17:00:00.000,circumplex.valence,1
2014-05-14 18:00:00.000,circumplex.valence,0
2014-05-15 14:00:00.000,circumplex.valence,0
2014-05-15 22:00:00.000,circumplex.valence,1
2014-05-16 10:00:00.000,circumplex.valence,1
2014-05-16 12:00:00.000,circumplex.valence,1
2014-05-16 15:00:00.000,circumplex.valence,1
2014-05-16 21:00:00.000,circumplex.valence,1
2014-05-17 09:00:00.000,circumplex.valence,0
2014-05-17 17:00:00.000,circumplex.valence,1
2014-05-17 21:00:00.000,circumplex.valence,0
2014-05-18 08:00:00.000,circumplex.valence,0
2014-05-18 13:00:00.000,circumplex.valence,1
2014-05-18 15:00:00.000,circumplex.valence,-1
2014-05-18 18:00:00.000,circumplex.valence,1
2014-05-18 21:00:00.000,circumplex.valence,0
2014-05-19 08:00:00.000,circumplex.valence,1
2014-05-19 14:00:00.000,circumplex.valence,0
2014-05-19 15:00:00.000,circumplex.valence,1
2014-05-19 18:00:00.000,circumplex.valence,0
2014-05-19 21:00:00.000,circumplex.valence,-1
2014-05-20 09:00:00.000,circumplex.valence,1
2014-05-20 12:00:00.000,circumplex.valence,1
2014-05-20 15:00:00.000,circumplex.valence,0
2014-05-20 18:00:00.000,circumplex.valence,0
2014-05-21 00:00:00.000,circumplex.valence,1
2014-05-21 09:00:00.000,circumplex.valence,0
2014-05-21 13:00:00.000,circumplex.valence,1
2014-05-21 18:00:00.000,circumplex.valence,-1
2014-05-21 21:00:00.000,circumplex.valence,-2
2014-05-22 10:00:00.000,circumplex.valence,1
2014-05-22 13:00:00.000,circumplex.valence,-1
2014-05-22 16:00:00.000,circumplex.valence,1
2014-05-22 18:00:00.000,circumplex.valence,0
2014-05-23 00:00:00.000,circumplex.valence,1
